danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.713,0.408,-7.104,0.0308,0.0365,0.000285,0.0963,0.103,103.968,5bpx60gYQoDDJcP7vBygPB,272613
0.614,0.369,-15.182,0.0353,0.678,0.00235,0.143,0.733,143.319,1vbe9sh7U9vdMceAhitWr2,297707
0.655,0.433,-7.577,0.0348,0.444,0.0,0.221,0.199,130.127,1XE1UGRpvvkaFEeqe1OJpw,245293
0.819,0.299,-11.964,0.122,0.153,0.0,0.3,0.515,121.913,5L0KDoZklMgs9GPoonneEl,227907
0.601,0.623,-6.43,0.0348,0.534,0.0,0.307,0.243,120.049,2pvpgsrLLPrADZpbngZbt6,335867
0.553,0.669,-7.575,0.0606,0.0128,7.65e-05,0.151,0.119,162.094,3K2YM0zZwJMjQrzMqpkOSQ,313852
0.828,0.6,-5.429,0.162,0.0942,0.0,0.126,0.655,119.969,3g6SuyjGaGyAXmjvdNI1IU,240320
0.6,0.556,-7.294,0.026,0.624,0.00735,0.0837,0.233,105.957,48JAAdtKgOQ4u4QRER6bJX,294093
0.514,0.549,-5.928,0.0529,0.687,0.0,0.0966,0.533,90.117,3LhV8hJF5BZQe66tCkjsmq,256493
0.709,0.529,-7.739,0.266,0.708,2.8e-06,0.0967,0.459,129.184,1PqXekQXU8a7s5QfI6QHCl,240320
0.727,0.497,-8.1,0.0417,0.581,0.000303,0.16,0.547,109.464,4vLVEi4Pobmx7GUYu1WGg9,189307
0.662,0.693,-4.298,0.0698,0.134,0.0,0.145,0.655,86.009,5Lgcn7u07bHuqbOtXkN62u,252120
0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001,0JXXNGljqupsJaZsgSbMZV,195373
0.625,0.576,-5.693,0.175,0.0543,4.07e-05,0.187,0.235,179.063,5hJFhO9dvhJoDvUZZ9iWSw,193147
0.73,0.553,-7.84,0.0286,0.0357,0.0,0.0679,0.358,96.021,2aNG1zFgAuHqYWhNbiIOF8,274627
0.558,0.719,-5.603,0.0419,0.101,0.0,0.212,0.483,158.031,6DEaND0SHv3sC11xobZLiy,243707
0.688,0.404,-9.481,0.0818,0.377,0.0,0.0813,0.448,75.007,7lurcq2Yw96B1K0KOJAHxg,277840
0.67,0.58,-6.586,0.144,0.777,0.0,0.11,0.309,157.997,731Pa6Gt7GAdADATMSEL0N,254627
0.534,0.905,-3.899,0.0343,0.00574,5.83e-06,0.334,0.567,123.467,7kO0M0CPH66v0L2eLoVUaF,244773
0.729,0.669,-4.73,0.0347,0.122,0.0,0.129,0.707,133.943,2NO4CA2TFvhGeg7XMz8PmT,242747
0.629,0.511,-8.651,0.0326,0.114,3.91e-06,0.0588,0.181,128.038,5GorFaKkP2mLREQvhSblIg,331240
0.656,0.479,-7.055,0.0348,0.0665,0.00272,0.168,0.708,184.374,3c6afiysmB7OnxQzzSqRfD,261867
0.733,0.44,-4.804,0.0522,0.454,1.15e-06,0.0871,0.592,140.01,4IcybJvMqsoLeJ8sUhSi8a,261600
0.586,0.645,-7.734,0.0402,0.5,0.0,0.166,0.497,89.959,7tzWMecezO4TtpjyPqDTHr,208867
0.556,0.517,-8.769,0.0287,0.307,0.00115,0.077,0.779,169.938,68K0qD0VDqdm0eWXsGqnvM,251253
0.64,0.502,-8.904,0.0325,0.47,0.0,0.385,0.663,85.005,6sg9ew2UWHvbZpQOlpwiIT,270000
0.85,0.398,-9.816,0.0534,0.0117,0.0,0.263,0.713,99.717,2fyTojfPYs67KBWN4WYRX7,258113
0.733,0.408,-7.834,0.0388,0.679,3.92e-05,0.11,0.291,94.947,6ydpPcCGhQ4Ox3H0ly0WcX,197854
0.535,0.274,-9.405,0.043,0.957,1.82e-05,0.155,0.464,118.363,3VdLjuOdBfFHQ2TTCY7zKw,231653
0.802,0.573,-3.956,0.218,0.169,0.0,0.0632,0.66,93.465,0BcA0LiA9lpB4fHBbBBO50,244760
0.63,0.694,-4.501,0.0242,0.144,0.0,0.0835,0.49,94.034,1fyysXwSGNtMeqMBLwW3SI,261427
0.556,0.75,-5.862,0.0505,0.021,0.0,0.147,0.34,121.998,7qhGSlw0Bz65wPI28LEBhZ,230653
0.476,0.841,-5.609,0.0712,0.0156,0.0,0.128,0.192,116.37,4DLFqfA4MtEpRjAvT86pY2,241027
0.395,0.814,-5.621,0.0421,0.103,9.76e-06,0.267,0.401,157.949,1cZLqITIcjwGYx4CGUOIoH,268120
0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96,1EzrEOXmMH3G43AXT1y7pA,242947
0.129,0.368,-8.419,0.0321,0.113,0.0421,0.103,0.0387,181.151,68jDcAoxBfn7Tu9SUt38d9,368307
0.816,0.5,-4.551,0.03,0.0227,1.53e-06,0.0733,0.649,124.037,7J41dYQolQJEtj3UmKLu5r,247840
0.305,0.783,-5.666,0.263,0.0863,0.0,0.249,0.369,174.541,3GQRsTSdx1EZeyQLBNlSgm,254387
0.669,0.747,-7.108,0.0428,0.141,0.0,0.185,0.483,122.531,0RAXbA0EGydtxACuuTlUrl,242440
0.578,0.43,-6.134,0.0305,0.33,0.0,0.0854,0.288,78.991,1Yk0cQdMLx5RzzFTYwmuld,295502
0.598,0.687,-9.021,0.0955,0.26,0.0,0.112,0.626,75.169,6DoYk3QIvkDs60S1d01vbx,184013
0.613,0.6,-9.478,0.111,0.0441,2.93e-06,0.0572,0.748,176.067,3vFW4imrinsvTWk2dhqpIV,201000
0.715,0.138,-12.843,0.0545,0.863,0.0,0.0834,0.478,120.788,3S5dFfLOpVe79xdKFHaHIw,225027
0.685,0.38,-11.219,0.112,0.373,0.0,0.0371,0.87,175.562,3kVIFDE3G89I2RPVkiRaRj,252267
0.773,0.414,-7.436,0.0961,0.00411,3.4e-05,0.0733,0.289,99.993,6jdOi5U5LBzQrc4c1VT983,227880
0.751,0.568,-5.431,0.0872,0.136,0.0,0.0288,0.646,128.002,1X1KDnhTnb28tpJlgOV3lD,246720
0.871,0.346,-9.481,0.0522,0.298,9.24e-06,0.108,0.659,110.054,2iXdwVdzA0KrI2Q0iZNJbX,207680
